"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid Type","Ad set budget","Ad set budget type","Last significant edit",Results,"Result indicator",Reach,Impressions,"Cost per results","Amount spent (MXN)",Ends,"Relevance score","3-second video views","Video percentage watched","Video average watch time"
2019-04-30,2019-04-30,"interaccion DAR -23 de abril",not_delivering,"Dar - Semana santa",2,ABSOLUTE_OCPM,1875,Lifetime,2019-04-24T17:16:25-0500,,,0,0,,0,2019-04-30,,,0,00:00:00
2019-04-29,2019-04-29,"interaccion DAR -23 de abril",not_delivering,"Dar - Semana santa",2,ABSOLUTE_OCPM,1875,Lifetime,2019-04-24T17:16:25-0500,,,0,0,,0,2019-04-30,,,0,00:00:00
2019-04-28,2019-04-28,"interaccion DAR -23 de abril",not_delivering,"Dar - Semana santa",2,ABSOLUTE_OCPM,1875,Lifetime,2019-04-24T17:16:25-0500,,,0,0,,0,2019-04-30,,,0,00:00:00
2019-04-27,2019-04-27,"interaccion DAR -23 de abril",not_delivering,"Dar - Semana santa",2,ABSOLUTE_OCPM,1875,Lifetime,2019-04-24T17:16:25-0500,,,0,0,,0,2019-04-30,,,0,00:00:00
2019-04-26,2019-04-26,"interaccion DAR -23 de abril",not_delivering,"Dar - Semana santa",2,ABSOLUTE_OCPM,1875,Lifetime,2019-04-24T17:16:25-0500,,,0,0,,0,2019-04-30,,,0,00:00:00
2019-04-25,2019-04-25,"interaccion DAR -23 de abril",not_delivering,"Dar - Semana santa",2,ABSOLUTE_OCPM,1875,Lifetime,2019-04-24T17:16:25-0500,,,10,10,,0,2019-04-30,,,7.29,00:00:00
2019-04-24,2019-04-24,"interaccion DAR -23 de abril",not_delivering,"Dar - Semana santa",2,ABSOLUTE_OCPM,1875,Lifetime,2019-04-24T17:16:25-0500,22580,actions:post_engagement,41120,41655,0.08303808680248,1875,2019-04-30,3,22563,66.25,00:00:07
